Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
631.152,11.85,3.779,11.23,2.971685631,630.463,6.885,5.463,4.19,0.766977851,628.372,8.794,6.703,5.693,0.849321199,629.9957,9.1763,5.3150,7.0377,1.5293
998.955,9.655,2.633,9.289,3.527914926,1.00E+03,6.357,4.829,4.134,0.856077863,998.892,7.434,5.113,5.396,1.05534911,999.2857,7.8153,4.1917,6.2730,1.8131
,,,,,,,,,,,,,,,,,,,
High-PI-1,,,,,High-PI-2,,,,,High-PI-3,,,,,HIgh-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.0103269,20.06,19.46,4.893,0.251438849,9.82E-03,18.6,18.16,4.013,0.220980176,9.89E-03,18.14,12.75,12.9,1.011764706,0.0100,18.9333,16.7900,7.2687,0.4947
0.0171315,20.04,19.47,4.739,0.243400103,0.0165518,19.01,18.26,5.31,0.290799562,0.0162015,16.5,14.7,7.502,0.510340136,0.0166,18.5167,17.4767,5.8503,0.3482
0.0270124,19.88,19.28,4.822,0.250103734,0.0252493,19.49,18.79,5.172,0.275252794,0.0255909,16.57,15.44,6.015,0.389572539,0.0260,18.6467,17.8367,5.3363,0.3050
0.0406263,20,19.26,5.394,0.280062305,0.0402085,19.84,19.23,4.885,0.254030161,0.0398569,16.22,15.38,5.149,0.334785436,0.0402,18.6867,17.9567,5.1427,0.2896
0.063216,20.04,19.36,5.194,0.268285124,0.0636492,20.07,19.57,4.435,0.226622381,0.0628125,16.46,15.67,5.036,0.32137843,0.0632,18.8567,18.2000,4.8883,0.2721
0.09977,20.18,19.49,5.239,0.268804515,0.101297,20.44,19.91,4.644,0.233249623,0.0994058,16.56,15.78,5.018,0.317997465,0.1002,19.0600,18.3933,4.9670,0.2734
0.157642,20.33,19.63,5.275,0.268721345,0.158349,20.63,20.1,4.652,0.231442786,0.158359,16.77,16.01,5.003,0.312492192,0.1581,19.2433,18.5800,4.9767,0.2709
0.250359,20.41,19.73,5.254,0.266294982,0.25135,20.59,20.06,4.668,0.232701894,0.251576,16.79,16.04,4.975,0.310162095,0.2511,19.2633,18.6100,4.9657,0.2697
0.397486,20.63,19.94,5.307,0.266148445,0.39801,20.52,19.96,4.753,0.238126253,0.397601,16.84,16.08,4.98,0.309701493,0.3977,19.3300,18.6600,5.0133,0.2713
0.630364,21.03,20.32,5.41,0.266240157,0.630459,20.03,19.42,4.88,0.251287333,0.630472,16.59,15.85,4.908,0.309652997,0.6304,19.2167,18.5300,5.0660,0.2757
0.99889,21.39,20.67,5.51,0.266569908,1.00005,19.44,18.73,5.208,0.278056594,0.998994,16.5,15.74,4.967,0.315565438,0.9993,19.1100,18.3800,5.2283,0.2867
1.58463,21.28,20.56,5.476,0.266342412,1.5855,18.68,17.75,5.823,0.328056338,1.58367,16.36,15.55,5.063,0.325594855,1.5846,18.7733,17.9533,5.4540,0.3067
2.51081,21.38,20.65,5.523,0.267457627,2.5143,17.32,16.14,6.301,0.39039653,2.51105,15.91,15.07,5.104,0.338686131,2.5121,18.2033,17.2867,5.6427,0.3322
3.97975,21.35,20.62,5.551,0.269204656,3.98631,15.87,14.44,6.589,0.456301939,3.9806,15.34,14.45,5.143,0.355916955,3.9822,17.5200,16.5033,5.7610,0.3605
6.31004,21.35,20.59,5.618,0.272850898,6.31634,14.34,12.76,6.553,0.513557994,6.3112,14.63,13.69,5.144,0.375748722,6.3125,16.7733,15.6800,5.7717,0.3874
10.0007,21.31,20.53,5.729,0.279055041,10.0092,12.87,11.24,6.277,0.558451957,9.99826,13.89,12.9,5.143,0.398682171,10.0027,16.0233,14.8900,5.7163,0.4121
15.8501,21.2,20.36,5.889,0.289243615,15.8605,11.53,9.928,5.871,0.591357776,15.8474,13.13,12.06,5.173,0.42893864,15.8527,15.2867,14.1160,5.6443,0.4365
25.1178,20.97,20.06,6.089,0.303539382,25.1196,10.39,8.83,5.481,0.620724802,25.1072,12.35,11.14,5.333,0.478725314,25.1149,14.5700,13.3433,5.6343,0.4677
39.8168,20.56,19.56,6.327,0.323466258,39.7801,9.418,7.858,5.191,0.660600662,39.8078,11.46,10.06,5.482,0.544930417,39.8016,13.8127,12.4927,5.6667,0.5097
63.095,19.92,18.78,6.64,0.353567625,62.9724,8.672,7.003,5.114,0.730258461,63.1166,10.28,8.882,5.168,0.581850934,63.0613,12.9573,11.5550,5.6407,0.5552
100.004,18.93,17.58,7.044,0.400682594,99.9659,7.769,6.037,4.891,0.810170615,100.021,9.039,7.696,4.742,0.616164241,99.9970,11.9127,10.4377,5.5590,0.6090
158.52,17.51,15.89,7.348,0.462429201,158.486,6.72,4.998,4.492,0.898759504,158.626,7.875,6.398,4.591,0.71756799,158.5440,10.7017,9.0953,5.4770,0.6929
251.22,15.83,14,7.391,0.527928571,251.401,5.297,3.963,3.514,0.886701993,251.464,6.564,5.201,4.005,0.770044222,251.3617,9.2303,7.7213,4.9700,0.7282
398.062,14.32,12.32,7.29,0.591720779,398.398,4.185,3.149,2.757,0.875516037,398.444,5.459,4.19,3.499,0.835083532,398.3013,7.9880,6.5530,4.5153,0.7674
630.756,13.15,11.02,7.17,0.650635209,631.267,3.485,2.546,2.38,0.934799686,631.956,4.556,3.417,3.013,0.881767632,631.3263,7.0637,5.6610,4.1877,0.8224
999.793,12.1,9.826,7.059,0.718400163,999.936,2.885,2.081,1.999,0.960595867,1.00E+03,3.872,2.875,2.594,0.90226087,1000.1863,6.2857,4.9273,3.8840,0.8604
