70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),GG,G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent
60.1,0.502183,551.9,546.9,73.84,0.135015542,60.1,0.499854,175.8,167.4,53.8,0.321385902,60.1,0.499305,94.84,85.49,41.05,0.48017312,60.1,0.499531,44.64,40.02,19.78,0.494252874,60.1,0.501542,37.4,36.14,9.633,0.266546763,60.1,0.498912,22.99,22.22,5.881,0.264671467
62.1,0.500978,552.2,547.4,72.6,0.132626964,62.1,0.500917,176,167.6,53.85,0.321300716,62.1,0.500256,94.87,85.5,41.11,0.480818713,62.1,0.499761,44.64,40.02,19.78,0.494252874,62.1,0.49908,37.49,36.23,9.648,0.266298648,62.1,0.498327,23.03,22.28,5.843,0.262253142
64.1,0.50197,552.5,547.7,72.67,0.132682125,64.1,0.500823,176.3,167.9,53.74,0.320071471,64.1,0.500417,94.97,85.66,41.02,0.478869951,64.1,0.500079,44.65,40.03,19.77,0.49387959,64.1,0.498282,37.56,36.29,9.692,0.267070818,64.1,0.496411,23.08,22.33,5.835,0.261307658
66.1,0.502427,552.7,547.8,73.38,0.133953998,66.1,0.500583,176.6,168.2,53.77,0.319678954,66.1,0.499914,95.02,85.69,41.06,0.479169098,66.1,0.500321,44.65,40.03,19.77,0.49387959,66.1,0.498537,37.65,36.38,9.682,0.266135239,66.1,0.496095,23.12,22.36,5.882,0.263059034
68.1,0.502422,552.9,548.2,72.33,0.131940897,68.1,0.500296,176.8,168.4,53.77,0.319299287,68.1,0.499136,95.1,85.78,41.06,0.478666356,68.1,0.49998,44.66,40.04,19.78,0.494005994,68.1,0.499237,37.72,36.45,9.695,0.265980796,68.1,0.49747,23.18,22.42,5.882,0.26235504
70.1,0.505315,553.1,548.2,73.8,0.134622401,70.1,0.500248,177.1,168.7,53.78,0.318790753,70.1,0.4996,95.14,85.8,41.1,0.479020979,70.1,0.500246,44.66,40.04,19.78,0.494005994,70.1,0.500074,37.76,36.48,9.771,0.267845395,70.1,0.499359,23.24,22.49,5.862,0.260649177
72.1,0.508905,553.6,548.8,73.2,0.133381924,72.1,0.500167,177.2,168.8,53.95,0.319609005,72.1,0.499696,95.24,85.95,41.03,0.477370564,72.1,0.500194,44.67,40.05,19.77,0.493632959,72.1,0.499954,37.82,36.55,9.691,0.265143639,72.1,0.49943,23.28,22.53,5.866,0.260363959
74.1,0.506659,553.7,548.8,72.96,0.132944606,74.1,0.499457,177.4,169,54.02,0.31964497,74.1,0.500049,95.28,85.97,41.09,0.477957427,74.1,0.500481,44.67,40.06,19.77,0.493509735,74.1,0.49964,37.87,36.61,9.673,0.264217427,74.1,0.499323,23.34,22.59,5.877,0.260159363
76.1,0.499638,554,549.5,70.17,0.127697907,76.1,0.498736,177.7,169.3,53.95,0.318665092,76.1,0.499979,95.33,86,41.11,0.478023256,76.1,0.50001,44.69,40.08,19.75,0.492764471,76.1,0.499769,37.96,36.7,9.723,0.26493188,76.1,0.499253,23.39,22.64,5.879,0.259673145
78.1,0.498635,553.9,549.2,72.34,0.131718864,78.1,0.498879,177.9,169.5,54.04,0.318820059,78.1,0.499289,95.38,86.07,41.11,0.477634484,78.1,0.499693,44.68,40.06,19.77,0.493509735,78.1,0.499833,38.05,36.78,9.738,0.264763458,78.1,0.49916,23.44,22.69,5.888,0.259497576
