70/3,,,,,,,,,70/6,,,,,,,,,70/9,,,,,,,,,70/12,,,,,,,,,70/18,,,,,,,,,70/24,,,,,,,,
gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G"""
7.94362,991.1,166.9,0.794965,251.2,29.63,7.94477,29.46,9.361,7.94212,1068,262.2,7.94313,118.8,32.11,7.94211,22.49,6.602,7.94014,526.4,239.1,7.94184,92.13,47.74,7.93797,11.42,6.565,7.94584,443.8,146.2,7.94641,102.8,32.78,7.94249,5.85,3.578,7.93635,110.3,80.21,7.94298,59.53,32.01,7.9518,7.936,2.796,7.93764,50.78,44.53,7.95144,9.247,4.745,7.94634,5.562,2.517
9.99912,989.9,170.1,0.999914,252.8,29.77,9.99495,29.23,9.547,9.99625,1060,267.5,9.99947,116.5,33.74,10.0005,22.27,6.747,9.99595,525.8,240.7,9.99745,87.41,48.37,9.99643,11.32,6.705,9.98996,442.4,147.2,10.0073,96.86,33.3,10.0001,5.666,3.651,9.99424,109.7,81.08,10.0018,54.42,32.4,10.0112,7.256,2.878,9.99449,50.31,44.98,10.008,8.498,4.82,10.0012,5.009,2.618
12.5946,987.4,175.2,1.25964,252.4,29.68,12.588,28.92,9.744,12.5874,1048,274,12.589,113.7,35.65,12.5899,21.97,6.919,12.5829,524.2,243,12.5888,82.13,48.98,12.5805,11.17,6.848,12.5863,440.2,148.5,12.5907,90.95,33.66,12.588,5.443,3.709,12.5786,108.6,81.99,12.5869,49.2,32.13,12.6054,6.525,2.999,12.5798,49.52,45.35,12.5966,7.823,4.806,12.5942,4.476,2.717
15.8424,983.1,183.1,1.58625,251.1,29.55,15.8491,28.51,9.962,15.8447,1033,282,15.8492,110.1,37.78,15.8482,21.56,7.115,15.8473,521,246.1,15.8494,76.39,49.37,15.8401,10.93,6.98,15.8419,436.7,150.3,15.8502,85.04,33.95,15.8454,5.189,3.74,15.8354,107.1,82.98,15.8357,44.54,31.3,15.8758,5.751,3.136,15.8387,48.41,45.61,15.8609,7.197,4.757,15.854,3.968,2.799
19.9438,976.1,195,1.99529,252.1,29.75,19.9547,27.96,10.22,19.9429,1014,291.7,19.9506,105.8,39.9,19.9561,20.95,7.363,19.9474,515.5,250,19.952,70.33,49.35,19.9412,10.65,7.08,19.9476,431.2,152.9,19.9623,79.07,34.15,19.9555,4.923,3.728,19.9372,105.1,83.94,19.9455,40.49,30.3,19.982,4.96,3.227,19.9373,46.97,45.69,19.9656,6.62,4.701,19.9691,3.505,2.848
25.1039,965.1,214.2,2.51248,252.9,29.94,25.1167,27.24,10.49,25.1066,987.8,303.2,25.1167,101,41.72,25.1193,20.23,7.563,25.1163,507.4,254.7,25.1161,64.25,48.81,25.1088,10.31,7.127,25.1094,424,156.7,25.1315,73.18,34.32,25.1194,4.665,3.674,25.0978,102.7,84.82,25.0739,37.03,29.35,25.1456,4.279,3.195,25.1005,45.23,45.56,25.1273,6.068,4.666,25.1352,3.087,2.84
31.6167,947.5,245.5,3.16189,252.6,30.01,31.6174,26.35,10.74,31.6086,954.9,317.4,31.6174,95.97,43,31.6279,19.42,7.702,31.608,495.8,260.2,31.6227,58.3,47.76,31.6094,9.9,7.149,31.6157,413.7,161.8,31.6301,67,35.01,31.6203,4.427,3.576,31.5915,99.46,85.54,31.5637,34.57,28.94,31.6715,3.615,3.097,31.5986,43.28,45.18,31.6362,5.535,4.646,31.6389,2.701,2.786
39.7708,920.3,297.5,3.97696,252.7,30.3,39.8055,25.29,10.91,39.78,911.3,336,39.7908,91.01,43.92,39.8153,18.55,7.73,39.7925,479.9,266.3,39.8046,52.64,46.33,39.7933,9.538,7.055,39.8076,399.2,168.1,39.8024,61.33,35.27,39.8186,4.209,3.445,39.7667,95.48,86.02,39.7185,31.48,28.38,39.8715,3.043,2.941,39.7843,41.15,44.56,39.8204,4.999,4.643,39.8089,2.35,2.696
50.0804,858.6,368,5.01831,253,30.76,50.1122,24.13,10.97,50.0846,853.1,360.5,50.0536,86.45,44.79,50.1419,17.67,7.673,50.081,459.2,272.8,50.0966,47.39,44.62,50.1001,9.204,6.895,50.1066,379.4,175.4,50.079,55.61,36.05,50.1421,3.996,3.288,50.0698,90.52,86.22,50.0341,28.67,27.94,50.2743,2.392,2.61,50.0705,39.01,43.76,50.1232,4.457,4.624,50.136,2.035,2.584
62.8568,775.2,429.2,6.3063,252.7,31.29,63.0881,22.89,11.05,63.0204,782.4,383.4,62.955,82.69,45.69,63.1364,16.74,7.588,63.0508,432,280,63.0363,42.81,42.84,63.0751,8.886,6.705,63.0743,354.1,182.7,63.0763,50.23,36.22,63.1338,3.785,3.113,63.0244,84.59,86.06,62.9758,24.89,26.87,63.2152,1.488,2.178,62.9975,37.16,42.94,63.1189,3.889,4.569,63.1158,1.746,2.444
78.651,707.9,468,7.94436,252.1,32.03,79.4198,21.51,11.16,79.2695,699.8,407.6,79.2352,78.84,46.84,79.5455,15.6,7.581,79.3677,396.5,287.7,79.3413,38.86,41.04,79.4091,8.542,6.563,79.4035,323.8,188.8,79.4034,45.16,35.85,79.5117,3.598,2.922,79.3229,77.69,85.26,79.4238,21.08,25.6,79.499,1.149,1.991,79.2913,35.44,42.16,79.4402,3.316,4.473,79.464,1.484,2.291
100.118,643.7,494.7,10.0019,251.4,33.1,100.001,19.93,11.32,99.2673,612.6,428.9,99.7465,73.9,48.37,100.329,13.16,8.614,99.9275,351.9,294.4,99.827,35.41,39.3,99.977,8.167,6.455,99.9019,290.3,192.5,99.9366,40.32,35.08,100.1,3.446,2.722,99.8334,70.73,83.81,99.813,17.81,24.51,100.033,0.8412,1.853,99.7463,33.78,41.45,100.009,2.762,4.327,100.281,1.249,2.122
121.819,559.2,506,12.5885,250.1,34.65,125.959,18.09,11.38,127.287,488.5,437.8,125.596,68.24,49.77,126.729,10.34,8.501,125.687,301.7,296.2,125.589,32.51,37.82,125.865,7.777,6.362,125.647,255.3,192.6,125.788,35.74,34.01,126.058,3.346,2.521,125.697,63.9,81.44,125.711,15.15,23.15,125.922,0.7051,1.69,125.469,32.18,40.88,125.897,2.262,4.115,126.102,1.049,1.955
150.659,500.6,507.5,15.8496,248.1,36.82,158.735,15.98,11.02,147.915,407.1,457.5,158.131,62.38,50.53,159.222,7.931,7.679,157.593,251.3,288.7,158.149,29.72,36.7,158.42,7.375,6.317,157.343,222.2,191.4,158.296,31.45,32.79,158.798,3.239,2.338,158.156,57.51,78.02,157.732,12.68,21.55,158.509,0.5931,1.538,157.979,30.25,40.26,158.511,1.825,3.854,158.677,0.8717,1.793
174.253,437.4,502.4,19.9533,244.9,39.81,199.844,13.82,10.36,179.595,323.5,467.4,199.046,57.12,50.42,200.011,6.34,6.889,198.238,212.8,271.3,199.124,26.99,35.06,199.432,6.957,6.293,197.28,182.4,184.3,199.18,27.64,31.42,199.828,2.658,2.425,199.075,51.82,74.29,199.356,10.73,19.86,199.508,0.5034,1.44,198.799,27.69,39.26,199.542,1.457,3.558,199.724,0.7171,1.681
