70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G"""
0.501679,245.5,28.9,5.01085,120.8,57.66,5.01115,121.8,29.61,5.01098,61.51,27.09,5.01335,99.86,46.29,5.00944,31.68,11.26,5.00728,114.5,30.54,5.00637,37.83,26.85,5.00669,69.63,30.06,5.01308,20.61,5.58,5.00801,10.62,4.536,5.01107,13.58,3.204
0.630421,247.7,29.27,6.30893,121.2,57.82,6.30931,120.5,30.74,6.30693,61.41,27.16,6.30603,96.29,47.07,6.31136,31.27,11.34,6.31278,108.8,31.85,6.31086,35.87,27.04,6.31227,64.84,31.3,6.31004,20.59,5.618,6.31482,10.01,4.637,6.31089,13.5,3.237
0.794965,251.2,29.63,7.94343,121.4,57.98,7.94313,118.8,32.11,7.94387,61.23,27.26,7.94184,92.13,47.74,7.94355,30.79,11.43,7.94641,102.8,32.78,7.94438,33.67,27.01,7.94298,59.53,32.01,7.94157,20.56,5.664,7.95144,9.247,4.745,7.94256,13.4,3.28
0.999914,252.8,29.77,9.99701,121.5,58.17,9.99947,116.5,33.74,9.9993,60.98,27.39,9.99745,87.41,48.37,10.0055,30.22,11.52,10.0073,96.86,33.3,10.0017,31.3,26.68,10.0018,54.42,32.4,10.0007,20.53,5.729,10.008,8.498,4.82,10.0049,13.29,3.33
1.25964,252.4,29.68,12.5891,121.5,58.37,12.589,113.7,35.65,12.5909,60.55,27.54,12.5888,82.13,48.98,12.5901,29.54,11.63,12.5907,90.95,33.66,12.5904,28.93,26.1,12.5869,49.2,32.13,12.5896,20.46,5.803,12.5966,7.823,4.806,12.5939,13.12,3.404
1.58625,251.1,29.55,15.848,121.4,58.64,15.8492,110.1,37.78,15.8528,59.97,27.7,15.8494,76.39,49.37,15.856,28.74,11.73,15.8502,85.04,33.95,15.8477,26.63,25.28,15.8357,44.54,31.3,15.8501,20.36,5.889,15.8609,7.197,4.757,15.8569,12.91,3.492
1.99529,252.1,29.75,19.9464,120.9,58.96,19.9506,105.8,39.9,19.9554,59.2,27.87,19.952,70.33,49.35,19.9634,27.8,11.88,19.9623,79.07,34.15,19.9552,24.47,24.28,19.9455,40.49,30.3,19.9551,20.23,5.986,19.9656,6.62,4.701,19.9558,12.68,3.586
2.51248,252.9,29.94,25.1137,120.2,59.36,25.1167,101,41.72,25.1243,58.21,28.03,25.1161,64.25,48.81,25.1278,26.47,12.13,25.1315,73.18,34.32,25.1197,22.48,23.18,25.0739,37.03,29.35,25.1178,20.06,6.089,25.1273,6.068,4.666,25.1256,12.36,3.717
3.16189,252.6,30.01,31.619,118.9,59.86,31.6174,95.97,43,31.6311,56.95,28.17,31.6227,58.3,47.76,31.6256,25.15,12.22,31.6301,67,35.01,31.6253,20.65,22.04,31.5637,34.57,28.94,31.6224,19.84,6.201,31.6362,5.535,4.646,31.6309,12.01,3.837
3.97696,252.7,30.3,39.809,116.9,60.44,39.7908,91.01,43.92,39.8202,55.39,28.27,39.8046,52.64,46.33,39.8176,24,12.19,39.8024,61.33,35.27,39.8126,18.98,20.83,39.7185,31.48,28.38,39.8168,19.56,6.327,39.8204,4.999,4.643,39.8285,11.62,3.907
